entry_id,group,mechanism,historical_training_path,current_public_path,original_text,vlm_formalized_text,semantic_surface_text,semantic_text,vlm_alphabetic_token_length,semantic_alphabetic_token_length,removed_template_context,rules_applied,source_training_mixture_weight,semantic_analysis_weight
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,arm left 1 left instrument tool 3 none arm right 1 right instrument tool 3 none do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: -1. left instrument: Tool #3 (None). arm right: -1. right instrument: Tool #3 (None),strip_cmr_state_template | strip_cmr_do_carrier,0.0016597836366662167,0.0016604091274955185
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 1. left instrument: Tool #13 (Blue). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,arm left 1 left instrument tool 13 blue arm right 1 right instrument tool 3 none do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 1. left instrument: Tool #13 (Blue). arm right: -1. right instrument: Tool #3 (None),strip_cmr_state_template | strip_cmr_do_carrier,6.908958560335592e-05,6.911562207054387e-05
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,arm left 1 left instrument tool 13 blue arm right 2 right instrument tool 9 cyan do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 1. left instrument: Tool #13 (Blue). arm right: 2. right instrument: Tool #9 (Cyan),strip_cmr_state_template | strip_cmr_do_carrier,0.0002579701678799908,0.0002580673841500382
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Cyan). do a cholecystectomy,arm left 1 left instrument tool 3 none arm right 2 right instrument tool 9 cyan do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #9 (Cyan),strip_cmr_state_template | strip_cmr_do_carrier,2.7674693124742934e-05,2.7685122355620302e-05
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,arm left 1 left instrument tool 3 none arm right 0 right instrument tool 14 white do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: -1. left instrument: Tool #3 (None). arm right: 0. right instrument: Tool #14 (White),strip_cmr_state_template | strip_cmr_do_carrier,0.00025064168428721415,0.00025073613881218906
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 1. left instrument: Tool #13 (Blue). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,arm left 1 left instrument tool 13 blue arm right 0 right instrument tool 14 white do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 1. left instrument: Tool #13 (Blue). arm right: 0. right instrument: Tool #14 (White),strip_cmr_state_template | strip_cmr_do_carrier,0.00011503172663349116,0.00011507507643433178
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 1. left instrument: Tool #0 (Blue). arm right: -1. right instrument: Tool #3 (None). do a cholecystectomy,arm left 1 left instrument tool 0 blue arm right 1 right instrument tool 3 none do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 1. left instrument: Tool #0 (Blue). arm right: -1. right instrument: Tool #3 (None),strip_cmr_state_template | strip_cmr_do_carrier,0.0001588366290765953,0.00015889648679096835
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,arm left 1 left instrument tool 0 blue arm right 2 right instrument tool 8 green do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 1. left instrument: Tool #0 (Blue). arm right: 2. right instrument: Tool #8 (Green),strip_cmr_state_template | strip_cmr_do_carrier,0.005758284773177248,0.0057604547875324714
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Green). do a cholecystectomy,arm left 1 left instrument tool 3 none arm right 2 right instrument tool 8 green do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: -1. left instrument: Tool #3 (None). arm right: 2. right instrument: Tool #8 (Green),strip_cmr_state_template | strip_cmr_do_carrier,0.00013416878353148836,0.00013421934514796873
cmr_versius:00,cmr_versius,CMR_STATE_PROMPT,cmr-surgical-60hz/cholecystectomy_phase_gesture_prompts_v1,cmr_surgical/cholecystectomy,arm left: 0. left instrument: Tool #14 (White). arm right: 0. right instrument: Tool #14 (White). do a cholecystectomy,arm left 0 left instrument tool 14 white arm right 0 right instrument tool 14 white do a cholecystectomy,cholecystectomy,cholecystectomy,15,1,arm left: 0. left instrument: Tool #14 (White). arm right: 0. right instrument: Tool #14 (White),strip_cmr_state_template | strip_cmr_do_carrier,0.0006081792522901213,0.0006084084451418132
